"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Description"
"U1-demo1","1","","","","Excluded from board","MX8733B:MX8733B IC","kicad-embed://MX8733B.pdf","MX8733B IC"
"SWM-b1","1","SW_PushScroll","","","Excluded from board","SW_PUSH_6mm_h7.3mm-2pin:SW_PUSH_6mm_h7.3mm","","Scroll click"
"SWL-a1,SWR-a1","2","","","","Excluded from board","D2FT:D2FT_SW","kicad-embed://Omron-D2F-01-A-datasheet.pdf","Right mouse button SPDT"
"R1-b1","1","68","","","Excluded from board","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","Resistor"
"ENC-a1,ENC-b1,ENC-b2","3","","","","Excluded from board","","",""
"D1-a1,D1-b1","2","LED","","","Excluded from board","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm","","Light emitting diode"
"C-a1","1","100uF","","","Excluded from board","IllinoisCapacitor_r3mm_h8mm:IllinoisCapacitor_r3mm_h8mm","kicad-embed://CAPPRD_Illinois_Capacitor_KXM_Series.pdf",""
"USB1","1","","","","","USB_direct_wire:USB_diredt_wire","",""
"U1","1","","","","","MX8733B:MX8733B IC","",""
"SWM1","1","SW_Push","","","","2pin_btn:SW_PUSH_6mm_h7.3mm","","Push button switch, generic, two pins"
"SWL1,SWR1","2","","","","","D2FT:D2FT_SW","kicad-embed://Omron-D2F-01-A-datasheet.pdf",""
"R1","1","68 ohm","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","Resistor"
"ENC1","1","","","","","AlpineRotaryEncoder:AlpineRotaryEncoder","",""
"D1","1","LED","","","","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm","","Light emitting diode"
"C1","1","","","","","SmallCapacitor:SmallCapacitor","",""
